"BoroCT2010","census_tract","borough","total_population","data"
365000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,7703
365000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,5403
365000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,5915
365001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,5879
365001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,2591
365002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,8516
365002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,4774
365002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,150
365002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,5355
365002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,3016
365002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,4778
365002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,5299
365003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,1466
365003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,3912
365003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,3948
365003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,246
365003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,1193
365003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,6614
365004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,1419
365004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,6476
365004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,7120
365004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,6057
365004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,4754
365004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,1869
365004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,3999
365005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,4885
365005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,5650
365005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,5653
365005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,2277
365005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,3727
365005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,6219
365005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,2468
