"GEOID","census_tract","borough","total_population","disability"
36005000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,NA
36005000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,0.144734406811031
36005000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,0.108368554522401
36005001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,0.128055260361318
36005001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,0.138556541875724
36005002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,0.223931423203382
36005002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,0.293464599916213
36005002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,0
36005002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,0.200186741363212
36005002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,0.142241379310345
36005002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,0.172666387609879
36005002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,0.164748065672768
36005003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,0.0804911323328786
36005003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,0.124488752556237
36005003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,0.141084093211753
36005003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,0.361788617886179
36005003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,0.107292539815591
36005003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,0.128430629264594
36005004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,0.120507399577167
36005004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,0.181058495821727
36005004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,0.230196629213483
36005004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,0.135702479338843
36005004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,0.146437994722955
36005004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,0.151417870518994
36005004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,0.0792698174543636
36005005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,0.0921187308085978
36005005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,0.0888495575221239
36005005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,0.173005483813904
36005005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,0.151515151515152
36005005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,0.168768446471693
36005005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,0.11625663289918
36005005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,0.173014586709887
36005005902,"Census Tract 59.02, Bronx County, New York"," Bronx County",3131,0.0993292877674864
36005006000,"Census Tract 60, Bronx County, New York"," Bronx County",1256,0.0923566878980892
36005006100,"Census Tract 61, Bronx County, New York"," Bronx County",3706,0.170264436049649
36005006200,"Census Tract 62, Bronx County, New York"," Bronx County",7610,0.162417871222076
36005006300,"Census Tract 63, Bronx County, New York"," Bronx County",4431,0.183816863100635
36005006400,"Census Tract 64, Bronx County, New York"," Bronx County",3590,0.13091922005571
36005006500,"Census Tract 65, Bronx County, New York"," Bronx County",5487,0.157280845635138
36005006700,"Census Tract 67, Bronx County, New York"," Bronx County",7421,0.146206710685891
36005006800,"Census Tract 68, Bronx County, New York"," Bronx County",3288,0.0614355231143552
36005006900,"Census Tract 69, Bronx County, New York"," Bronx County",8554,0.172083235913023
36005007000,"Census Tract 70, Bronx County, New York"," Bronx County",4568,0.0909290577641116
36005007100,"Census Tract 71, Bronx County, New York"," Bronx County",2547,0.0650602409638554
36005007200,"Census Tract 72, Bronx County, New York"," Bronx County",5822,0.0956715905187221
36005007300,"Census Tract 73, Bronx County, New York"," Bronx County",3761,0.172459893048128
