"GEOID","census_tract","borough","total_population","two_three","four_five","sixplus"
36005000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,NA,NA,NA
36005000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,0.520926090828139,0.275155832591273,0.203918076580588
36005000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,0.653771760154739,0.301096067053514,0.0451321727917473
36005001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,0.567723342939481,0.345821325648415,0.0864553314121038
36005001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,0.61822125813449,0.338394793926247,0.0433839479392625
36005002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,0.596766043456291,0.356745831227893,0.0464881253158161
36005002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,0.678632478632479,0.252136752136752,0.0692307692307692
36005002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,0,1,0
36005002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,0.615384615384615,0.290865384615385,0.09375
36005002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,0.609511889862328,0.341677096370463,0.048811013767209
36005002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,0.541198501872659,0.387640449438202,0.0711610486891386
36005002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,0.818437719915552,0.176636171710063,0.00492610837438424
36005003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,0.658263305322129,0.246498599439776,0.0952380952380952
36005003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,0.520578420467186,0.311457174638487,0.167964404894327
36005003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,0.560864618885097,0.31740614334471,0.121729237770193
36005003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,0.826086956521739,0.173913043478261,0
36005003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,0.580882352941177,0.360294117647059,0.0588235294117647
36005003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,0.442868400315209,0.345941686367218,0.211189913317573
36005004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,0.639204545454545,0.301136363636364,0.0596590909090909
36005004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,0.53220559531555,0.374756018217306,0.0930383864671438
36005004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,0.755416191562144,0.190992018244014,0.0535917901938426
36005004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,0.515290519877676,0.390672782874618,0.0940366972477064
36005004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,0.679638009049774,0.226244343891403,0.0941176470588235
36005004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,0.60774818401937,0.215496368038741,0.176755447941889
36005004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,0.50109649122807,0.427631578947368,0.0712719298245614
36005005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,0.617407071622847,0.307343608340888,0.0752493200362647
36005005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,0.570840197693575,0.313838550247117,0.115321252059308
36005005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,0.661028893587033,0.285412262156448,0.0535588442565187
36005005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,0.560498220640569,0.395017793594306,0.0444839857651246
36005005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,0.693156732891832,0.242825607064018,0.0640176600441501
36005005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,0.374794069192751,0.436573311367381,0.188632619439868
36005005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,0.483402489626556,0.421161825726141,0.0954356846473029
36005005902,"Census Tract 59.02, Bronx County, New York"," Bronx County",3131,0.668103448275862,0.23132183908046,0.100574712643678
36005006000,"Census Tract 60, Bronx County, New York"," Bronx County",1256,0.559386973180077,0.306513409961686,0.134099616858238
36005006100,"Census Tract 61, Bronx County, New York"," Bronx County",3706,0.872586872586873,0.111969111969112,0.0154440154440154
36005006200,"Census Tract 62, Bronx County, New York"," Bronx County",7610,0.616210413311863,0.250134192163178,0.13365539452496
36005006300,"Census Tract 63, Bronx County, New York"," Bronx County",4431,0.742125984251969,0.201771653543307,0.0561023622047244
36005006400,"Census Tract 64, Bronx County, New York"," Bronx County",3590,0.635250917992656,0.302325581395349,0.0624235006119951
36005006500,"Census Tract 65, Bronx County, New York"," Bronx County",5487,0.628193832599119,0.252863436123348,0.118942731277533
36005006700,"Census Tract 67, Bronx County, New York"," Bronx County",7421,0.495750708215297,0.275495750708215,0.228753541076487
36005006800,"Census Tract 68, Bronx County, New York"," Bronx County",3288,0.489891135303266,0.32348367029549,0.186625194401244
36005006900,"Census Tract 69, Bronx County, New York"," Bronx County",8554,0.471391076115486,0.462992125984252,0.0656167979002625
36005007000,"Census Tract 70, Bronx County, New York"," Bronx County",4568,0.513948497854077,0.293991416309013,0.19206008583691
36005007100,"Census Tract 71, Bronx County, New York"," Bronx County",2547,0.678071539657854,0.298600311041991,0.0233281493001555
36005007200,"Census Tract 72, Bronx County, New York"," Bronx County",5822,0.358024691358025,0.434744268077601,0.207231040564374
36005007300,"Census Tract 73, Bronx County, New York"," Bronx County",3761,0.603841536614646,0.337334933973589,0.0588235294117647
36005007400,"Census Tract 74, Bronx County, New York"," Bronx County",3635,0.631313131313131,0.26010101010101,0.108585858585859
36005007500,"Census Tract 75, Bronx County, New York"," Bronx County",5599,0.660619803476946,0.261526832955404,0.0778533635676493
36005007600,"Census Tract 76, Bronx County, New York"," Bronx County",5587,0.514919011082694,0.313725490196078,0.171355498721228
36005007700,"Census Tract 77, Bronx County, New York"," Bronx County",1933,0.652631578947368,0.301052631578947,0.0463157894736842
36005007800,"Census Tract 78, Bronx County, New York"," Bronx County",6518,0.555707450444293,0.262474367737526,0.181818181818182
36005007900,"Census Tract 79, Bronx County, New York"," Bronx County",6420,0.553584102200142,0.370475514549326,0.0759403832505323
36005008300,"Census Tract 83, Bronx County, New York"," Bronx County",6882,0.558398950131234,0.289370078740157,0.152230971128609
36005008400,"Census Tract 84, Bronx County, New York"," Bronx County",2289,0.547920433996383,0.368896925858951,0.0831826401446655
36005008500,"Census Tract 85, Bronx County, New York"," Bronx County",5959,0.606986899563319,0.270742358078603,0.122270742358079
36005008600,"Census Tract 86, Bronx County, New York"," Bronx County",3874,0.715686274509804,0.240196078431373,0.0441176470588235
36005008700,"Census Tract 87, Bronx County, New York"," Bronx County",6002,0.619293078055965,0.287923416789396,0.0927835051546392
36005008900,"Census Tract 89, Bronx County, New York"," Bronx County",3438,0.557142857142857,0.295714285714286,0.147142857142857
36005009000,"Census Tract 90, Bronx County, New York"," Bronx County",3476,0.636054421768708,0.333333333333333,0.0306122448979592
36005009200,"Census Tract 92, Bronx County, New York"," Bronx County",5622,0.549206349206349,0.322222222222222,0.128571428571429
36005009300,"Census Tract 93, Bronx County, New York"," Bronx County",6517,0.506193228736581,0.345169281585467,0.148637489677952
36005009600,"Census Tract 96, Bronx County, New York"," Bronx County",2562,0.551369863013699,0.397260273972603,0.0513698630136986
36005009800,"Census Tract 98, Bronx County, New York"," Bronx County",5041,0.538525269262635,0.402651201325601,0.0588235294117647
36005011000,"Census Tract 110, Bronx County, New York"," Bronx County",153,1,0,0
36005011502,"Census Tract 115.02, Bronx County, New York"," Bronx County",4566,0.538461538461538,0.284510010537408,0.177028451001054
36005011700,"Census Tract 117, Bronx County, New York"," Bronx County",1603,0.559493670886076,0.422784810126582,0.0177215189873418
36005011800,"Census Tract 118, Bronx County, New York"," Bronx County",5364,0.624068157614484,0.345047923322684,0.0308839190628328
36005011900,"Census Tract 119, Bronx County, New York"," Bronx County",5603,0.5664,0.3784,0.0552
36005012101,"Census Tract 121.01, Bronx County, New York"," Bronx County",3057,0.493129770992366,0.433587786259542,0.0732824427480916
36005012102,"Census Tract 121.02, Bronx County, New York"," Bronx County",1835,0.536764705882353,0.360294117647059,0.102941176470588
36005012300,"Census Tract 123, Bronx County, New York"," Bronx County",4379,0.645951035781544,0.312617702448211,0.0414312617702448
36005012500,"Census Tract 125, Bronx County, New York"," Bronx County",4272,0.605593056894889,0.302796528447445,0.0916104146576663
36005012701,"Census Tract 127.01, Bronx County, New York"," Bronx County",1992,0.804780876494024,0.143426294820717,0.051792828685259
36005012901,"Census Tract 129.01, Bronx County, New York"," Bronx County",4017,0.497555012224939,0.402200488997555,0.100244498777506
36005013000,"Census Tract 130, Bronx County, New York"," Bronx County",1364,0.592067988668555,0.385269121813031,0.0226628895184136
36005013100,"Census Tract 131, Bronx County, New York"," Bronx County",4685,0.456262425447316,0.427435387673956,0.116302186878728
36005013200,"Census Tract 132, Bronx County, New York"," Bronx County",7426,0.570495372890582,0.34676102340773,0.0827436037016875
36005013300,"Census Tract 133, Bronx County, New York"," Bronx County",7284,0.639755351681957,0.176146788990826,0.184097859327217
36005013500,"Census Tract 135, Bronx County, New York"," Bronx County",3908,0.646875,0.240625,0.1125
36005013800,"Census Tract 138, Bronx County, New York"," Bronx County",2989,0.684659090909091,0.276988636363636,0.0383522727272727
36005014100,"Census Tract 141, Bronx County, New York"," Bronx County",5355,0.655260906757913,0.269461077844311,0.0752780153977759
36005014300,"Census Tract 143, Bronx County, New York"," Bronx County",968,0.57516339869281,0.281045751633987,0.143790849673203
36005014400,"Census Tract 144, Bronx County, New York"," Bronx County",6049,0.597352024922118,0.307632398753894,0.0950155763239875
36005014500,"Census Tract 145, Bronx County, New York"," Bronx County",7360,0.467989756722151,0.40460947503201,0.127400768245839
36005014701,"Census Tract 147.01, Bronx County, New York"," Bronx County",7023,0.511455525606469,0.38544474393531,0.103099730458221
36005014702,"Census Tract 147.02, Bronx County, New York"," Bronx County",5243,0.625960061443932,0.294162826420891,0.0798771121351766
36005014900,"Census Tract 149, Bronx County, New York"," Bronx County",4348,0.531286894923259,0.338842975206612,0.12987012987013
36005015100,"Census Tract 151, Bronx County, New York"," Bronx County",5458,0.578052550231839,0.337712519319938,0.0842349304482226
36005015200,"Census Tract 152, Bronx County, New York"," Bronx County",2803,0.59180790960452,0.353107344632768,0.0550847457627119
36005015300,"Census Tract 153, Bronx County, New York"," Bronx County",4466,0.443624868282403,0.506849315068493,0.0495258166491043
36005015500,"Census Tract 155, Bronx County, New York"," Bronx County",3178,0.611316113161132,0.355473554735547,0.033210332103321
36005015700,"Census Tract 157, Bronx County, New York"," Bronx County",4054,0.610804851157663,0.306504961411246,0.0826901874310915
36005015800,"Census Tract 158, Bronx County, New York"," Bronx County",1202,0.60983606557377,0.337704918032787,0.0524590163934426
36005015900,"Census Tract 159, Bronx County, New York"," Bronx County",1420,0.824797843665768,0.175202156334232,0
36005016000,"Census Tract 160, Bronx County, New York"," Bronx County",4274,0.604448742746615,0.367504835589942,0.0280464216634429
36005016100,"Census Tract 161, Bronx County, New York"," Bronx County",4140,0.686653771760155,0.285299806576402,0.0280464216634429
36005016200,"Census Tract 162, Bronx County, New York"," Bronx County",1969,0.540229885057471,0.422988505747126,0.0367816091954023
36005016300,"Census Tract 163, Bronx County, New York"," Bronx County",0,NA,NA,NA
36005016400,"Census Tract 164, Bronx County, New York"," Bronx County",885,0.791666666666667,0.208333333333333,0
36005016500,"Census Tract 165, Bronx County, New York"," Bronx County",1189,0.560283687943262,0.393617021276596,0.0460992907801418
36005016600,"Census Tract 166, Bronx County, New York"," Bronx County",2252,0.629310344827586,0.3,0.0706896551724138
36005016700,"Census Tract 167, Bronx County, New York"," Bronx County",2733,0.491283676703645,0.402535657686212,0.106180665610143
36005016900,"Census Tract 169, Bronx County, New York"," Bronx County",1338,0.647773279352227,0.352226720647773,0
36005017100,"Census Tract 171, Bronx County, New York"," Bronx County",0,NA,NA,NA
36005017300,"Census Tract 173, Bronx County, New York"," Bronx County",6301,0.553685897435897,0.268429487179487,0.177884615384615
36005017500,"Census Tract 175, Bronx County, New York"," Bronx County",7004,0.594904458598726,0.3,0.105095541401274
36005017701,"Census Tract 177.01, Bronx County, New York"," Bronx County",4946,0.336091003102378,0.526370217166494,0.137538779731127
36005017702,"Census Tract 177.02, Bronx County, New York"," Bronx County",5388,0.465290806754221,0.415572232645403,0.119136960600375
36005017901,"Census Tract 179.01, Bronx County, New York"," Bronx County",4661,0.662576687116564,0.329535495179667,0.00788781770376862
36005017902,"Census Tract 179.02, Bronx County, New York"," Bronx County",3600,0.468057366362451,0.324641460234681,0.207301173402868
36005018101,"Census Tract 181.01, Bronx County, New York"," Bronx County",2921,0.565015479876161,0.331269349845201,0.103715170278638
36005018102,"Census Tract 181.02, Bronx County, New York"," Bronx County",5626,0.548305084745763,0.323728813559322,0.127966101694915
36005018301,"Census Tract 183.01, Bronx County, New York"," Bronx County",4202,0.743966421825813,0.256033578174187,0
36005018302,"Census Tract 183.02, Bronx County, New York"," Bronx County",4078,0.617878192534381,0.307465618860511,0.0746561886051081
36005018400,"Census Tract 184, Bronx County, New York"," Bronx County",3676,0.706180344478217,0.277608915906788,0.0162107396149949
36005018500,"Census Tract 185, Bronx County, New York"," Bronx County",6885,0.609275730622618,0.344345616264295,0.0463786531130877
36005018900,"Census Tract 189, Bronx County, New York"," Bronx County",8304,0.490812092471843,0.438055720213397,0.0711321873147599
36005019300,"Census Tract 193, Bronx County, New York"," Bronx County",5737,0.645803698435277,0.290896159317212,0.0633001422475107
36005019400,"Census Tract 194, Bronx County, New York"," Bronx County",2231,0.548254620123203,0.379876796714579,0.0718685831622177
36005019500,"Census Tract 195, Bronx County, New York"," Bronx County",7622,0.593191964285714,0.348772321428571,0.0580357142857143
36005019700,"Census Tract 197, Bronx County, New York"," Bronx County",7104,0.467902051621443,0.399073461283918,0.133024487094639
36005019900,"Census Tract 199, Bronx County, New York"," Bronx County",8015,0.582135523613963,0.357802874743327,0.0600616016427105
36005020000,"Census Tract 200, Bronx County, New York"," Bronx County",4722,0.523854069223573,0.380729653882133,0.0954162768942937
36005020100,"Census Tract 201, Bronx County, New York"," Bronx County",4340,0.499472016895459,0.429778247096093,0.0707497360084477
36005020200,"Census Tract 202, Bronx County, New York"," Bronx County",2232,0.627659574468085,0.325531914893617,0.0468085106382979
36005020400,"Census Tract 204, Bronx County, New York"," Bronx County",3131,0.5,0.462290502793296,0.0377094972067039
36005020501,"Census Tract 205.01, Bronx County, New York"," Bronx County",7030,0.680887372013652,0.298634812286689,0.0204778156996587
36005020502,"Census Tract 205.02, Bronx County, New York"," Bronx County",2123,0.562780269058296,0.354260089686099,0.0829596412556054
