"GEOID","census_tract","borough","total_population","never_married","now_married","divorced"
36005000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,0.863689471634428,0.122290016876542,0.0111644813708945
36005000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,0.377666817975488,0.476168860644576,0.100771674988652
36005000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,0.497107349475037,0.375616027426612,0.0854938932933362
36005001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,0.473298880275624,0.347545219638243,0.109173126614987
36005001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,0.592574257425743,0.306435643564356,0.0836633663366337
36005002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,0.555700609225413,0.283144763562518,0.0880475776037134
36005002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,0.614768174012593,0.244991413852318,0.0589582140812822
36005002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,0.63716814159292,0,0
36005002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,0.56156862745098,0.309281045751634,0.0810457516339869
36005002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,0.560929350403035,0.322901849217639,0.0725462304409673
36005002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,0.634445927903872,0.269692923898531,0.0664886515353805
36005002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,0.480536912751678,0.391275167785235,0.0984340044742729
36005003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,0.459965928449744,0.431856899488927,0.075809199318569
36005003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,0.641649048625793,0.262861169837914,0.0560253699788584
36005003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,0.507985049269453,0.309887869520897,0.110091743119266
36005003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,0.521929824561403,0.315789473684211,0.0964912280701754
36005003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,0.499467518636848,0.372736954206603,0.0777422790202343
36005003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,0.521811730327698,0.37716551868086,0.0452932581924442
36005004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,0.401918047079337,0.477768090671316,0.0592850915431561
36005004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,0.625077591558038,0.254707221187668,0.0780053796813573
36005004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,0.590663970340411,0.231884057971014,0.0953825412874958
36005004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,0.56641431520991,0.308327598072953,0.0681348933241569
36005004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,0.601585204755614,0.208718626155878,0.0937912813738441
36005004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,0.511834319526627,0.351331360946746,0.0806213017751479
36005004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,0.540498442367601,0.363551401869159,0.0613707165109034
36005005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,0.577368421052632,0.315789473684211,0.0757894736842105
36005005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,0.535795713634291,0.353853169174647,0.0784313725490196
36005005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,0.594639468690702,0.263045540796964,0.0834914611005693
36005005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,0.469221835075494,0.358304297328688,0.131823461091754
36005005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,0.680662983425414,0.189686924493554,0.0751381215469613
36005005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,0.471207430340557,0.396904024767802,0.087719298245614
36005005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,0.454545454545455,0.370467682606411,0.109301103520757
36005005902,"Census Tract 59.02, Bronx County, New York"," Bronx County",3131,0.522960151802657,0.371157495256167,0.0774193548387097
36005006000,"Census Tract 60, Bronx County, New York"," Bronx County",1256,0.535096642929807,0.301119023397762,0.111902339776195
36005006100,"Census Tract 61, Bronx County, New York"," Bronx County",3706,0.456221198156682,0.186635944700461,0.1875
36005006200,"Census Tract 62, Bronx County, New York"," Bronx County",7610,0.518649789029536,0.354092827004219,0.0724050632911392
36005006300,"Census Tract 63, Bronx County, New York"," Bronx County",4431,0.487070114636097,0.360170621167689,0.124766728872301
36005006400,"Census Tract 64, Bronx County, New York"," Bronx County",3590,0.498867069486405,0.305513595166163,0.152190332326284
36005006500,"Census Tract 65, Bronx County, New York"," Bronx County",5487,0.608227696723272,0.225783305429323,0.111217412102368
