"GEOID","census_tract","borough","total_population","non_family"
36005000100,"Census Tract 1, Bronx County, New York"," Bronx County",7703,NA
36005000200,"Census Tract 2, Bronx County, New York"," Bronx County",5403,0.185641769398115
36005000400,"Census Tract 4, Bronx County, New York"," Bronx County",5915,0.192608016657991
36005001600,"Census Tract 16, Bronx County, New York"," Bronx County",5879,0.293279022403259
36005001900,"Census Tract 19, Bronx County, New York"," Bronx County",2591,0.48834628190899
36005002000,"Census Tract 20, Bronx County, New York"," Bronx County",8516,0.329834067050457
36005002300,"Census Tract 23, Bronx County, New York"," Bronx County",4774,0.395973154362416
36005002400,"Census Tract 24, Bronx County, New York"," Bronx County",150,0
36005002500,"Census Tract 25, Bronx County, New York"," Bronx County",5355,0.321739130434783
36005002701,"Census Tract 27.01, Bronx County, New York"," Bronx County",3016,0.274954627949183
36005002702,"Census Tract 27.02, Bronx County, New York"," Bronx County",4778,0.232758620689655
36005002800,"Census Tract 28, Bronx County, New York"," Bronx County",5299,0.391173950299914
36005003100,"Census Tract 31, Bronx County, New York"," Bronx County",1466,0.29585798816568
36005003300,"Census Tract 33, Bronx County, New York"," Bronx County",3912,0.214160839160839
36005003500,"Census Tract 35, Bronx County, New York"," Bronx County",3948,0.332574031890661
36005003700,"Census Tract 37, Bronx County, New York"," Bronx County",246,0.610169491525424
36005003800,"Census Tract 38, Bronx County, New York"," Bronx County",1193,0.264864864864865
36005003900,"Census Tract 39, Bronx County, New York"," Bronx County",6614,0.332807570977918
36005004001,"Census Tract 40.01, Bronx County, New York"," Bronx County",1419,0.281632653061224
36005004100,"Census Tract 41, Bronx County, New York"," Bronx County",6476,0.273286052009456
36005004200,"Census Tract 42, Bronx County, New York"," Bronx County",7120,0.353244837758112
36005004300,"Census Tract 43, Bronx County, New York"," Bronx County",6057,0.365664403491756
36005004400,"Census Tract 44, Bronx County, New York"," Bronx County",4754,0.325808419768151
36005004600,"Census Tract 46, Bronx County, New York"," Bronx County",1869,0.409155937052933
36005004800,"Census Tract 48, Bronx County, New York"," Bronx County",3999,0.248145094806265
36005005001,"Census Tract 50.01, Bronx County, New York"," Bronx County",4885,0.25523295070898
36005005002,"Census Tract 50.02, Bronx County, New York"," Bronx County",5650,0.309835133598636
36005005100,"Census Tract 51, Bronx County, New York"," Bronx County",5653,0.276020408163265
36005005200,"Census Tract 52, Bronx County, New York"," Bronx County",2277,0.308733087330873
36005005300,"Census Tract 53, Bronx County, New York"," Bronx County",3727,0.355618776671408
36005005400,"Census Tract 54, Bronx County, New York"," Bronx County",6219,0.29786003470214
36005005600,"Census Tract 56, Bronx County, New York"," Bronx County",2468,0.446613088404133
36005005902,"Census Tract 59.02, Bronx County, New York"," Bronx County",3131,0.346478873239437
36005006000,"Census Tract 60, Bronx County, New York"," Bronx County",1256,0.245664739884393
36005006100,"Census Tract 61, Bronx County, New York"," Bronx County",3706,0.641770401106501
36005006200,"Census Tract 62, Bronx County, New York"," Bronx County",7610,0.234593262119967
36005006300,"Census Tract 63, Bronx County, New York"," Bronx County",4431,0.446019629225736
36005006400,"Census Tract 64, Bronx County, New York"," Bronx County",3590,0.368624420401855
36005006500,"Census Tract 65, Bronx County, New York"," Bronx County",5487,0.413739669421488
36005006700,"Census Tract 67, Bronx County, New York"," Bronx County",7421,0.389273356401384
36005006800,"Census Tract 68, Bronx County, New York"," Bronx County",3288,0.339835728952772
36005006900,"Census Tract 69, Bronx County, New York"," Bronx County",8554,0.285982008995502
36005007000,"Census Tract 70, Bronx County, New York"," Bronx County",4568,0.29500756429652
36005007100,"Census Tract 71, Bronx County, New York"," Bronx County",2547,0.252325581395349
36005007200,"Census Tract 72, Bronx County, New York"," Bronx County",5822,0.318099819603127
36005007300,"Census Tract 73, Bronx County, New York"," Bronx County",3761,0.354763749031758
36005007400,"Census Tract 74, Bronx County, New York"," Bronx County",3635,0.418074944893461
36005007500,"Census Tract 75, Bronx County, New York"," Bronx County",5599,0.34987714987715
36005007600,"Census Tract 76, Bronx County, New York"," Bronx County",5587,0.268703241895262
36005007700,"Census Tract 77, Bronx County, New York"," Bronx County",1933,0.212271973466003
36005007800,"Census Tract 78, Bronx County, New York"," Bronx County",6518,0.274665344571145
36005007900,"Census Tract 79, Bronx County, New York"," Bronx County",6420,0.397863247863248
