"GEOID","census_tract","borough","total_population"
"36005000100","Census Tract 1, Bronx County, New York"," Bronx County",7703
"36005000200","Census Tract 2, Bronx County, New York"," Bronx County",5403
"36005000400","Census Tract 4, Bronx County, New York"," Bronx County",5915
"36005001600","Census Tract 16, Bronx County, New York"," Bronx County",5879
"36005001900","Census Tract 19, Bronx County, New York"," Bronx County",2591
"36005002000","Census Tract 20, Bronx County, New York"," Bronx County",8516
"36005002300","Census Tract 23, Bronx County, New York"," Bronx County",4774
"36005002400","Census Tract 24, Bronx County, New York"," Bronx County",150
"36005002500","Census Tract 25, Bronx County, New York"," Bronx County",5355
"36005002701","Census Tract 27.01, Bronx County, New York"," Bronx County",3016
"36005002702","Census Tract 27.02, Bronx County, New York"," Bronx County",4778
"36005002800","Census Tract 28, Bronx County, New York"," Bronx County",5299
"36005003100","Census Tract 31, Bronx County, New York"," Bronx County",1466
"36005003300","Census Tract 33, Bronx County, New York"," Bronx County",3912
"36005003500","Census Tract 35, Bronx County, New York"," Bronx County",3948
"36005003700","Census Tract 37, Bronx County, New York"," Bronx County",246
"36005003800","Census Tract 38, Bronx County, New York"," Bronx County",1193
"36005003900","Census Tract 39, Bronx County, New York"," Bronx County",6614
"36005004001","Census Tract 40.01, Bronx County, New York"," Bronx County",1419
"36005004100","Census Tract 41, Bronx County, New York"," Bronx County",6476
"36005004200","Census Tract 42, Bronx County, New York"," Bronx County",7120
"36005004300","Census Tract 43, Bronx County, New York"," Bronx County",6057
"36005004400","Census Tract 44, Bronx County, New York"," Bronx County",4754
"36005004600","Census Tract 46, Bronx County, New York"," Bronx County",1869
"36005004800","Census Tract 48, Bronx County, New York"," Bronx County",3999
"36005005001","Census Tract 50.01, Bronx County, New York"," Bronx County",4885
"36005005002","Census Tract 50.02, Bronx County, New York"," Bronx County",5650
"36005005100","Census Tract 51, Bronx County, New York"," Bronx County",5653
"36005005200","Census Tract 52, Bronx County, New York"," Bronx County",2277
"36005005300","Census Tract 53, Bronx County, New York"," Bronx County",3727
"36005005400","Census Tract 54, Bronx County, New York"," Bronx County",6219
"36005005600","Census Tract 56, Bronx County, New York"," Bronx County",2468
"36005005902","Census Tract 59.02, Bronx County, New York"," Bronx County",3131
"36005006000","Census Tract 60, Bronx County, New York"," Bronx County",1256
"36005006100","Census Tract 61, Bronx County, New York"," Bronx County",3706
"36005006200","Census Tract 62, Bronx County, New York"," Bronx County",7610
"36005006300","Census Tract 63, Bronx County, New York"," Bronx County",4431
"36005006400","Census Tract 64, Bronx County, New York"," Bronx County",3590
"36005006500","Census Tract 65, Bronx County, New York"," Bronx County",5487
"36005006700","Census Tract 67, Bronx County, New York"," Bronx County",7421
"36005006800","Census Tract 68, Bronx County, New York"," Bronx County",3288
"36005006900","Census Tract 69, Bronx County, New York"," Bronx County",8554
"36005007000","Census Tract 70, Bronx County, New York"," Bronx County",4568
"36005007100","Census Tract 71, Bronx County, New York"," Bronx County",2547
"36005007200","Census Tract 72, Bronx County, New York"," Bronx County",5822
"36005007300","Census Tract 73, Bronx County, New York"," Bronx County",3761
"36005007400","Census Tract 74, Bronx County, New York"," Bronx County",3635
"36005007500","Census Tract 75, Bronx County, New York"," Bronx County",5599
"36005007600","Census Tract 76, Bronx County, New York"," Bronx County",5587
"36005007700","Census Tract 77, Bronx County, New York"," Bronx County",1933
"36005007800","Census Tract 78, Bronx County, New York"," Bronx County",6518
"36005007900","Census Tract 79, Bronx County, New York"," Bronx County",6420
"36005008300","Census Tract 83, Bronx County, New York"," Bronx County",6882
"36005008400","Census Tract 84, Bronx County, New York"," Bronx County",2289
"36005008500","Census Tract 85, Bronx County, New York"," Bronx County",5959
"36005008600","Census Tract 86, Bronx County, New York"," Bronx County",3874
"36005008700","Census Tract 87, Bronx County, New York"," Bronx County",6002
"36005008900","Census Tract 89, Bronx County, New York"," Bronx County",3438
"36005009000","Census Tract 90, Bronx County, New York"," Bronx County",3476
"36005009200","Census Tract 92, Bronx County, New York"," Bronx County",5622
"36005009300","Census Tract 93, Bronx County, New York"," Bronx County",6517
"36005009600","Census Tract 96, Bronx County, New York"," Bronx County",2562
"36005009800","Census Tract 98, Bronx County, New York"," Bronx County",5041
"36005011000","Census Tract 110, Bronx County, New York"," Bronx County",153
"36005011502","Census Tract 115.02, Bronx County, New York"," Bronx County",4566
"36005011700","Census Tract 117, Bronx County, New York"," Bronx County",1603
"36005011800","Census Tract 118, Bronx County, New York"," Bronx County",5364
"36005011900","Census Tract 119, Bronx County, New York"," Bronx County",5603
"36005012101","Census Tract 121.01, Bronx County, New York"," Bronx County",3057
"36005012102","Census Tract 121.02, Bronx County, New York"," Bronx County",1835
"36005012300","Census Tract 123, Bronx County, New York"," Bronx County",4379
"36005012500","Census Tract 125, Bronx County, New York"," Bronx County",4272
"36005012701","Census Tract 127.01, Bronx County, New York"," Bronx County",1992
"36005012901","Census Tract 129.01, Bronx County, New York"," Bronx County",4017
"36005013000","Census Tract 130, Bronx County, New York"," Bronx County",1364
"36005013100","Census Tract 131, Bronx County, New York"," Bronx County",4685
"36005013200","Census Tract 132, Bronx County, New York"," Bronx County",7426
"36005013300","Census Tract 133, Bronx County, New York"," Bronx County",7284
"36005013500","Census Tract 135, Bronx County, New York"," Bronx County",3908
"36005013800","Census Tract 138, Bronx County, New York"," Bronx County",2989
"36005014100","Census Tract 141, Bronx County, New York"," Bronx County",5355
"36005014300","Census Tract 143, Bronx County, New York"," Bronx County",968
"36005014400","Census Tract 144, Bronx County, New York"," Bronx County",6049
"36005014500","Census Tract 145, Bronx County, New York"," Bronx County",7360
"36005014701","Census Tract 147.01, Bronx County, New York"," Bronx County",7023
"36005014702","Census Tract 147.02, Bronx County, New York"," Bronx County",5243
"36005014900","Census Tract 149, Bronx County, New York"," Bronx County",4348
"36005015100","Census Tract 151, Bronx County, New York"," Bronx County",5458
"36005015200","Census Tract 152, Bronx County, New York"," Bronx County",2803
"36005015300","Census Tract 153, Bronx County, New York"," Bronx County",4466
"36005015500","Census Tract 155, Bronx County, New York"," Bronx County",3178
"36005015700","Census Tract 157, Bronx County, New York"," Bronx County",4054
"36005015800","Census Tract 158, Bronx County, New York"," Bronx County",1202
"36005015900","Census Tract 159, Bronx County, New York"," Bronx County",1420
"36005016000","Census Tract 160, Bronx County, New York"," Bronx County",4274
"36005016100","Census Tract 161, Bronx County, New York"," Bronx County",4140
"36005016200","Census Tract 162, Bronx County, New York"," Bronx County",1969
"36005016300","Census Tract 163, Bronx County, New York"," Bronx County",0
"36005016400","Census Tract 164, Bronx County, New York"," Bronx County",885
"36005016500","Census Tract 165, Bronx County, New York"," Bronx County",1189
